Battery_power_mAh,Bluetooh,Speed_of_microprocessor,Dual_sim,Front_camera,4G,Internal_memeory_gb,Mobile_depth,Mobile_weight,Cores_of_processor,Primary_camera,px_height,Pixel_width,Ram_mb,Screen_height,Screen_weight,talk_time,3G,touch_screen,wifi,price_range
1671 mAh,No,0.6,Yes,7 pixels,Yes,61 gb,0.1 cm,129 g,2,11 pixels,263 ppcm,848 ppcm,2336 mb,10 cm,4 cm,7,Yes,No,No,High cost
1821 mAh,No,0.9,No,9 pixels,Yes,12 gb,0.3 cm,114 g,1,18 pixels,97 ppcm,1803 ppcm,2430 mb,7 cm,4 cm,6,Yes,Yes,Yes,High cost
1076 mAh,Yes,2.6,No,3 pixels,Yes,38 gb,0.7 cm,119 g,6,8 pixels,129 ppcm,915 ppcm,891 mb,18 cm,3 cm,9,Yes,Yes,No,Low cost
532 mAh,Yes,0.8,Yes,3 pixels,No,8 gb,0.1 cm,193 g,5,10 pixels,1213 ppcm,1354 ppcm,728 mb,13 cm,5 cm,8,Yes,Yes,No,Low cost
777 mAh,Yes,2.6,No,3 pixels,No,30 gb,0.9 cm,148 g,5,17 pixels,189 ppcm,1143 ppcm,3886 mb,14 cm,10 cm,7,Yes,No,No,Very High cost
1217 mAh,Yes,0.5,No,3 pixels,No,17 gb,0.5 cm,182 g,4,13 pixels,628 ppcm,632 ppcm,1711 mb,7 cm,3 cm,9,Yes,No,Yes,Medium cost
1656 mAh,Yes,1.6,Yes,0 pixels,No,16 gb,1.0 cm,117 g,7,2 pixels,320 ppcm,899 ppcm,2856 mb,14 cm,3 cm,20,Yes,Yes,Yes,High cost
1185 mAh,No,1.9,No,0 pixels,No,31 gb,0.4 cm,152 g,8,7 pixels,837 ppcm,1642 ppcm,2447 mb,16 cm,2 cm,3,Yes,Yes,Yes,High cost
577 mAh,No,2.4,No,8 pixels,Yes,37 gb,0.9 cm,161 g,6,20 pixels,1087 ppcm,1450 ppcm,814 mb,11 cm,7 cm,19,Yes,Yes,Yes,Low cost
737 mAh,Yes,2.4,Yes,7 pixels,No,49 gb,0.6 cm,193 g,4,16 pixels,781 ppcm,1463 ppcm,2951 mb,7 cm,0 cm,10,No,Yes,No,High cost
704 mAh,No,2.2,Yes,4 pixels,No,53 gb,0.2 cm,186 g,6,6 pixels,251 ppcm,1013 ppcm,3653 mb,7 cm,1 cm,15,Yes,Yes,Yes,High cost
525 mAh,Yes,0.5,Yes,5 pixels,No,51 gb,0.5 cm,137 g,8,11 pixels,262 ppcm,1587 ppcm,1891 mb,18 cm,3 cm,12,No,Yes,No,Medium cost
504 mAh,Yes,0.5,Yes,5 pixels,No,16 gb,0.1 cm,166 g,1,9 pixels,767 ppcm,1665 ppcm,701 mb,17 cm,15 cm,15,Yes,No,Yes,Low cost
793 mAh,No,1.2,Yes,1 pixels,Yes,38 gb,0.6 cm,176 g,4,7 pixels,1226 ppcm,1815 ppcm,3139 mb,6 cm,1 cm,12,Yes,Yes,Yes,Very High cost
569 mAh,No,0.6,Yes,2 pixels,No,39 gb,0.1 cm,184 g,8,9 pixels,389 ppcm,739 ppcm,2811 mb,7 cm,6 cm,7,Yes,No,Yes,Medium cost
1590 mAh,No,1.9,Yes,3 pixels,Yes,21 gb,1.0 cm,160 g,5,18 pixels,920 ppcm,963 ppcm,1701 mb,11 cm,4 cm,4,Yes,No,Yes,Medium cost
707 mAh,No,0.5,No,0 pixels,Yes,16 gb,0.1 cm,194 g,2,0 pixels,1027 ppcm,1508 ppcm,1853 mb,17 cm,14 cm,12,Yes,Yes,Yes,Medium cost
767 mAh,No,1.9,No,16 pixels,Yes,19 gb,0.2 cm,185 g,6,17 pixels,271 ppcm,1000 ppcm,2445 mb,6 cm,1 cm,6,Yes,Yes,Yes,Medium cost
1350 mAh,Yes,0.5,Yes,0 pixels,Yes,50 gb,0.8 cm,181 g,8,4 pixels,369 ppcm,544 ppcm,2287 mb,15 cm,1 cm,8,Yes,Yes,No,Medium cost
1117 mAh,Yes,0.6,Yes,0 pixels,No,31 gb,0.2 cm,146 g,2,7 pixels,1258 ppcm,1627 ppcm,2003 mb,8 cm,7 cm,14,No,Yes,Yes,High cost
641 mAh,Yes,1.1,No,0 pixels,Yes,7 gb,0.9 cm,192 g,1,3 pixels,417 ppcm,759 ppcm,3595 mb,7 cm,5 cm,19,Yes,Yes,Yes,High cost
1002 mAh,No,0.8,Yes,0 pixels,Yes,35 gb,0.5 cm,83 g,2,4 pixels,1345 ppcm,1416 ppcm,1726 mb,16 cm,5 cm,19,Yes,No,Yes,Medium cost
1408 mAh,Yes,2.1,Yes,10 pixels,No,45 gb,0.9 cm,89 g,5,14 pixels,613 ppcm,1088 ppcm,3952 mb,8 cm,6 cm,3,No,No,Yes,Very High cost
1900 mAh,Yes,2.0,Yes,1 pixels,No,41 gb,0.5 cm,190 g,8,6 pixels,912 ppcm,1596 ppcm,850 mb,5 cm,1 cm,4,Yes,Yes,Yes,Medium cost
726 mAh,No,2.9,No,0 pixels,No,43 gb,0.1 cm,101 g,8,0 pixels,666 ppcm,760 ppcm,1446 mb,17 cm,2 cm,8,Yes,Yes,No,Low cost
1544 mAh,No,2.3,No,12 pixels,Yes,45 gb,0.1 cm,113 g,8,20 pixels,236 ppcm,857 ppcm,1300 mb,8 cm,7 cm,18,Yes,Yes,No,Medium cost
1454 mAh,Yes,1.6,No,6 pixels,Yes,21 gb,0.2 cm,160 g,4,10 pixels,186 ppcm,1100 ppcm,719 mb,14 cm,10 cm,10,Yes,Yes,Yes,Low cost
1230 mAh,Yes,2.2,Yes,6 pixels,No,26 gb,0.8 cm,123 g,5,7 pixels,416 ppcm,676 ppcm,988 mb,11 cm,5 cm,9,No,Yes,Yes,Low cost
1552 mAh,No,1.2,No,10 pixels,Yes,53 gb,0.3 cm,180 g,8,18 pixels,430 ppcm,658 ppcm,2606 mb,13 cm,6 cm,12,Yes,No,No,High cost
1519 mAh,No,2.1,No,0 pixels,No,32 gb,0.7 cm,200 g,1,10 pixels,168 ppcm,1239 ppcm,2912 mb,11 cm,10 cm,15,Yes,Yes,No,High cost
723 mAh,Yes,1.9,No,4 pixels,No,30 gb,0.3 cm,102 g,1,7 pixels,1467 ppcm,1901 ppcm,2339 mb,19 cm,9 cm,17,No,Yes,Yes,High cost
1191 mAh,No,2.4,Yes,2 pixels,No,13 gb,0.9 cm,169 g,1,7 pixels,179 ppcm,1813 ppcm,1028 mb,14 cm,6 cm,8,Yes,Yes,Yes,Low cost
1168 mAh,No,1.3,No,9 pixels,No,61 gb,0.1 cm,90 g,8,10 pixels,159 ppcm,1578 ppcm,3173 mb,9 cm,4 cm,17,No,No,Yes,Very High cost
1229 mAh,No,0.5,Yes,15 pixels,No,14 gb,0.8 cm,191 g,2,16 pixels,120 ppcm,1878 ppcm,1667 mb,17 cm,6 cm,17,No,No,Yes,Medium cost
1758 mAh,Yes,0.5,No,11 pixels,Yes,13 gb,0.6 cm,190 g,8,14 pixels,762 ppcm,1864 ppcm,1897 mb,6 cm,2 cm,15,Yes,No,No,High cost
1290 mAh,No,0.5,No,0 pixels,No,3 gb,0.1 cm,143 g,6,4 pixels,600 ppcm,1109 ppcm,1214 mb,9 cm,8 cm,15,No,Yes,Yes,Medium cost
574 mAh,No,2.8,Yes,16 pixels,No,38 gb,0.1 cm,90 g,6,17 pixels,286 ppcm,1171 ppcm,3269 mb,8 cm,7 cm,10,No,Yes,No,High cost
1271 mAh,Yes,0.5,No,12 pixels,No,32 gb,0.1 cm,113 g,7,15 pixels,1350 ppcm,1949 ppcm,445 mb,15 cm,14 cm,14,No,No,Yes,Low cost
1170 mAh,Yes,1.2,No,4 pixels,No,30 gb,0.4 cm,83 g,8,15 pixels,27 ppcm,1722 ppcm,1073 mb,6 cm,4 cm,8,Yes,Yes,No,Low cost
1269 mAh,Yes,1.3,No,14 pixels,No,52 gb,0.8 cm,118 g,2,15 pixels,1597 ppcm,1920 ppcm,665 mb,18 cm,5 cm,5,No,No,No,Medium cost
1288 mAh,No,2.8,Yes,15 pixels,No,50 gb,0.1 cm,121 g,2,20 pixels,1177 ppcm,1809 ppcm,3129 mb,17 cm,6 cm,2,No,No,No,Very High cost
1366 mAh,Yes,0.7,Yes,0 pixels,Yes,34 gb,0.1 cm,150 g,2,9 pixels,402 ppcm,964 ppcm,3501 mb,13 cm,11 cm,3,Yes,No,No,Very High cost
1572 mAh,Yes,0.8,Yes,7 pixels,Yes,8 gb,0.8 cm,169 g,5,8 pixels,577 ppcm,1237 ppcm,3461 mb,6 cm,3 cm,10,Yes,Yes,Yes,Very High cost
1627 mAh,No,0.9,Yes,9 pixels,Yes,32 gb,0.1 cm,180 g,6,16 pixels,52 ppcm,1082 ppcm,3206 mb,12 cm,6 cm,16,Yes,Yes,No,Very High cost
1701 mAh,Yes,0.5,No,13 pixels,Yes,46 gb,0.9 cm,115 g,2,15 pixels,364 ppcm,828 ppcm,3717 mb,11 cm,0 cm,10,Yes,Yes,No,Very High cost
1900 mAh,Yes,0.5,Yes,0 pixels,Yes,55 gb,0.9 cm,171 g,1,1 pixels,934 ppcm,1241 ppcm,3917 mb,15 cm,5 cm,18,Yes,No,Yes,Very High cost
1974 mAh,No,1.0,No,4 pixels,No,24 gb,0.3 cm,80 g,7,13 pixels,250 ppcm,545 ppcm,861 mb,7 cm,4 cm,6,Yes,No,Yes,Low cost
1197 mAh,Yes,0.5,Yes,9 pixels,No,20 gb,0.1 cm,129 g,5,10 pixels,214 ppcm,1710 ppcm,2885 mb,19 cm,7 cm,14,Yes,Yes,Yes,High cost
587 mAh,Yes,2.3,Yes,4 pixels,No,6 gb,0.7 cm,170 g,1,16 pixels,612 ppcm,1793 ppcm,2777 mb,9 cm,2 cm,14,Yes,Yes,No,High cost
934 mAh,No,1.1,No,7 pixels,No,24 gb,0.8 cm,112 g,5,12 pixels,1111 ppcm,1463 ppcm,1017 mb,12 cm,7 cm,9,No,No,Yes,Low cost
1195 mAh,No,2.0,Yes,1 pixels,Yes,23 gb,0.1 cm,82 g,4,9 pixels,163 ppcm,1100 ppcm,980 mb,13 cm,9 cm,17,Yes,No,No,Low cost
1853 mAh,Yes,1.0,No,2 pixels,No,23 gb,0.4 cm,92 g,1,15 pixels,202 ppcm,1951 ppcm,2775 mb,14 cm,4 cm,17,Yes,No,No,Very High cost
1164 mAh,No,1.0,No,4 pixels,Yes,19 gb,0.9 cm,95 g,8,18 pixels,729 ppcm,1704 ppcm,3309 mb,15 cm,3 cm,3,Yes,No,Yes,Very High cost
1512 mAh,Yes,0.5,No,8 pixels,Yes,18 gb,0.1 cm,88 g,3,17 pixels,1079 ppcm,1897 ppcm,3607 mb,12 cm,10 cm,6,Yes,Yes,Yes,Very High cost
1232 mAh,No,2.9,Yes,1 pixels,Yes,24 gb,0.3 cm,169 g,5,17 pixels,361 ppcm,809 ppcm,1257 mb,16 cm,10 cm,16,Yes,No,No,Low cost
1813 mAh,Yes,0.6,Yes,0 pixels,Yes,5 gb,0.2 cm,198 g,3,8 pixels,338 ppcm,1306 ppcm,759 mb,9 cm,3 cm,14,Yes,Yes,No,Low cost
946 mAh,Yes,2.6,Yes,17 pixels,No,5 gb,0.1 cm,166 g,3,20 pixels,1698 ppcm,1771 ppcm,3720 mb,15 cm,7 cm,4,No,Yes,No,Very High cost
739 mAh,Yes,2.3,Yes,2 pixels,Yes,58 gb,0.1 cm,88 g,3,4 pixels,1052 ppcm,1536 ppcm,475 mb,7 cm,6 cm,6,Yes,No,Yes,Low cost
704 mAh,Yes,2.7,No,8 pixels,Yes,29 gb,0.2 cm,80 g,1,10 pixels,1108 ppcm,1509 ppcm,1122 mb,9 cm,3 cm,10,Yes,Yes,Yes,Low cost
1663 mAh,Yes,0.5,No,0 pixels,No,40 gb,0.6 cm,147 g,4,15 pixels,951 ppcm,1545 ppcm,1336 mb,8 cm,5 cm,15,Yes,No,No,Medium cost
1966 mAh,Yes,1.4,Yes,2 pixels,No,40 gb,0.9 cm,185 g,8,18 pixels,1197 ppcm,1987 ppcm,1185 mb,11 cm,2 cm,20,No,Yes,No,High cost
1219 mAh,No,1.0,Yes,0 pixels,No,17 gb,0.7 cm,196 g,5,4 pixels,473 ppcm,1022 ppcm,705 mb,11 cm,3 cm,6,No,Yes,Yes,Low cost
612 mAh,Yes,0.7,No,6 pixels,No,35 gb,0.6 cm,181 g,5,12 pixels,1294 ppcm,1337 ppcm,3169 mb,14 cm,9 cm,6,No,No,No,High cost
1658 mAh,Yes,1.4,No,0 pixels,Yes,39 gb,0.7 cm,182 g,1,5 pixels,410 ppcm,522 ppcm,3483 mb,10 cm,1 cm,15,Yes,No,Yes,Very High cost
1263 mAh,No,0.5,No,12 pixels,No,64 gb,0.3 cm,175 g,5,18 pixels,178 ppcm,1883 ppcm,1183 mb,14 cm,3 cm,17,No,No,Yes,Medium cost
1395 mAh,Yes,2.8,No,0 pixels,Yes,55 gb,0.6 cm,118 g,3,1 pixels,782 ppcm,1787 ppcm,3373 mb,11 cm,2 cm,16,Yes,Yes,No,Very High cost
621 mAh,Yes,2.7,Yes,0 pixels,No,54 gb,0.1 cm,151 g,4,20 pixels,434 ppcm,910 ppcm,2801 mb,6 cm,1 cm,5,Yes,Yes,Yes,High cost
652 mAh,No,0.5,Yes,1 pixels,No,58 gb,0.6 cm,142 g,3,2 pixels,464 ppcm,781 ppcm,565 mb,18 cm,12 cm,9,No,No,Yes,Low cost
1175 mAh,No,0.6,No,10 pixels,No,25 gb,0.1 cm,145 g,2,12 pixels,137 ppcm,1501 ppcm,3153 mb,9 cm,4 cm,12,Yes,No,No,High cost
561 mAh,Yes,1.0,No,0 pixels,No,11 gb,0.1 cm,163 g,8,10 pixels,492 ppcm,1176 ppcm,3421 mb,16 cm,2 cm,5,Yes,Yes,Yes,High cost
1137 mAh,No,2.2,No,6 pixels,Yes,3 gb,0.9 cm,173 g,5,7 pixels,1250 ppcm,1285 ppcm,316 mb,15 cm,14 cm,17,Yes,No,No,Low cost
1835 mAh,Yes,2.3,No,4 pixels,Yes,11 gb,0.1 cm,193 g,7,13 pixels,385 ppcm,583 ppcm,448 mb,18 cm,17 cm,14,Yes,No,No,Low cost
1170 mAh,No,2.9,Yes,2 pixels,No,40 gb,0.4 cm,169 g,6,5 pixels,427 ppcm,684 ppcm,2366 mb,16 cm,8 cm,2,Yes,Yes,Yes,Medium cost
1595 mAh,Yes,0.8,Yes,0 pixels,Yes,44 gb,0.7 cm,85 g,4,20 pixels,1024 ppcm,1838 ppcm,3881 mb,14 cm,10 cm,9,Yes,No,Yes,Very High cost
1719 mAh,Yes,2.0,No,0 pixels,No,12 gb,0.3 cm,122 g,8,7 pixels,240 ppcm,904 ppcm,462 mb,6 cm,3 cm,5,No,No,No,Low cost
1770 mAh,No,2.3,Yes,0 pixels,No,7 gb,0.8 cm,128 g,7,6 pixels,886 ppcm,1552 ppcm,1480 mb,6 cm,1 cm,17,Yes,No,No,Medium cost
1312 mAh,No,0.5,Yes,0 pixels,Yes,28 gb,0.8 cm,163 g,2,0 pixels,1233 ppcm,1854 ppcm,1087 mb,17 cm,16 cm,14,Yes,No,No,Medium cost
1878 mAh,No,1.5,Yes,5 pixels,Yes,56 gb,0.3 cm,139 g,5,13 pixels,183 ppcm,559 ppcm,2711 mb,8 cm,2 cm,3,Yes,Yes,Yes,High cost
1871 mAh,Yes,2.0,No,7 pixels,Yes,20 gb,0.1 cm,81 g,7,14 pixels,88 ppcm,1682 ppcm,2144 mb,13 cm,12 cm,12,Yes,Yes,Yes,High cost
922 mAh,No,1.5,Yes,1 pixels,Yes,35 gb,0.9 cm,188 g,7,15 pixels,1016 ppcm,1383 ppcm,1165 mb,19 cm,6 cm,4,Yes,Yes,Yes,Low cost
1975 mAh,Yes,1.5,No,6 pixels,Yes,16 gb,0.9 cm,128 g,8,11 pixels,80 ppcm,655 ppcm,2998 mb,5 cm,4 cm,13,Yes,Yes,No,High cost
1212 mAh,No,2.6,No,1 pixels,Yes,46 gb,0.3 cm,102 g,4,8 pixels,611 ppcm,1715 ppcm,2249 mb,14 cm,3 cm,4,Yes,Yes,Yes,High cost
1430 mAh,Yes,0.9,No,3 pixels,No,56 gb,0.1 cm,179 g,3,5 pixels,569 ppcm,906 ppcm,752 mb,17 cm,8 cm,17,No,No,Yes,Low cost
1958 mAh,Yes,1.9,Yes,0 pixels,No,4 gb,0.2 cm,190 g,2,3 pixels,304 ppcm,637 ppcm,1409 mb,16 cm,5 cm,3,No,No,No,Medium cost
1836 mAh,Yes,2.1,Yes,0 pixels,Yes,30 gb,0.2 cm,184 g,7,15 pixels,276 ppcm,1230 ppcm,3072 mb,7 cm,3 cm,5,Yes,Yes,No,Very High cost
557 mAh,Yes,1.6,No,0 pixels,No,24 gb,0.5 cm,125 g,3,0 pixels,1131 ppcm,1315 ppcm,1305 mb,12 cm,8 cm,3,Yes,No,Yes,Low cost
539 mAh,Yes,0.6,Yes,9 pixels,No,21 gb,0.1 cm,145 g,7,14 pixels,551 ppcm,599 ppcm,3597 mb,14 cm,5 cm,9,No,No,No,High cost
880 mAh,No,0.5,Yes,1 pixels,No,44 gb,0.5 cm,172 g,8,15 pixels,436 ppcm,1302 ppcm,3132 mb,8 cm,7 cm,6,No,Yes,Yes,High cost
1369 mAh,Yes,1.8,Yes,6 pixels,No,34 gb,0.5 cm,162 g,1,7 pixels,553 ppcm,727 ppcm,3856 mb,18 cm,4 cm,18,No,Yes,Yes,Very High cost
1109 mAh,Yes,2.7,Yes,1 pixels,No,39 gb,0.4 cm,98 g,1,9 pixels,1391 ppcm,1787 ppcm,1524 mb,15 cm,10 cm,7,Yes,Yes,Yes,Medium cost
843 mAh,No,1.8,Yes,0 pixels,No,16 gb,0.1 cm,166 g,5,6 pixels,981 ppcm,1096 ppcm,3673 mb,12 cm,1 cm,20,Yes,No,Yes,Very High cost
598 mAh,No,2.3,Yes,7 pixels,No,21 gb,0.7 cm,196 g,2,10 pixels,680 ppcm,1173 ppcm,3293 mb,8 cm,4 cm,7,Yes,No,Yes,High cost
972 mAh,Yes,2.7,Yes,1 pixels,No,5 gb,1.0 cm,126 g,4,2 pixels,687 ppcm,816 ppcm,3035 mb,12 cm,7 cm,19,Yes,No,Yes,High cost
1944 mAh,Yes,0.5,No,5 pixels,Yes,36 gb,0.1 cm,197 g,6,18 pixels,1060 ppcm,1970 ppcm,584 mb,17 cm,14 cm,13,Yes,Yes,No,Medium cost
1225 mAh,No,0.7,Yes,0 pixels,Yes,2 gb,0.6 cm,138 g,7,1 pixels,217 ppcm,1101 ppcm,2675 mb,12 cm,11 cm,15,Yes,Yes,No,High cost
644 mAh,Yes,1.3,Yes,7 pixels,Yes,30 gb,0.5 cm,114 g,1,16 pixels,1140 ppcm,1654 ppcm,2382 mb,9 cm,0 cm,19,Yes,No,Yes,High cost
1919 mAh,No,1.5,No,5 pixels,Yes,48 gb,0.8 cm,150 g,4,6 pixels,304 ppcm,1191 ppcm,1391 mb,19 cm,13 cm,12,Yes,No,Yes,Medium cost
501 mAh,No,2.3,No,12 pixels,Yes,54 gb,0.3 cm,131 g,4,19 pixels,504 ppcm,1089 ppcm,2346 mb,13 cm,12 cm,2,Yes,No,Yes,Medium cost
1620 mAh,Yes,2.2,Yes,0 pixels,Yes,30 gb,0.2 cm,185 g,3,3 pixels,832 ppcm,1033 ppcm,606 mb,6 cm,0 cm,18,Yes,No,No,Low cost
1227 mAh,Yes,1.1,Yes,0 pixels,No,34 gb,0.2 cm,130 g,3,3 pixels,935 ppcm,1781 ppcm,1324 mb,7 cm,3 cm,12,No,Yes,Yes,Medium cost
1359 mAh,Yes,0.5,Yes,1 pixels,Yes,58 gb,0.5 cm,107 g,6,3 pixels,446 ppcm,901 ppcm,1076 mb,16 cm,8 cm,4,Yes,Yes,Yes,Low cost
1914 mAh,No,0.7,No,1 pixels,No,35 gb,0.6 cm,118 g,8,2 pixels,942 ppcm,1701 ppcm,643 mb,17 cm,1 cm,8,Yes,No,Yes,Medium cost
1645 mAh,Yes,1.8,No,1 pixels,No,21 gb,0.7 cm,123 g,7,2 pixels,897 ppcm,1308 ppcm,783 mb,10 cm,8 cm,20,Yes,No,No,Low cost
1063 mAh,Yes,1.1,No,0 pixels,Yes,26 gb,0.8 cm,101 g,5,2 pixels,1208 ppcm,1232 ppcm,3809 mb,17 cm,16 cm,5,Yes,No,Yes,Very High cost
946 mAh,No,2.1,No,0 pixels,Yes,19 gb,0.2 cm,154 g,8,0 pixels,159 ppcm,630 ppcm,2104 mb,7 cm,4 cm,16,Yes,Yes,No,Medium cost
1231 mAh,No,1.2,Yes,5 pixels,No,54 gb,0.8 cm,185 g,3,10 pixels,632 ppcm,1184 ppcm,1762 mb,5 cm,3 cm,6,Yes,Yes,No,Medium cost
1397 mAh,No,2.9,Yes,13 pixels,No,9 gb,0.5 cm,87 g,6,18 pixels,1308 ppcm,1991 ppcm,3137 mb,12 cm,1 cm,11,Yes,Yes,Yes,Very High cost
701 mAh,Yes,0.7,No,7 pixels,No,15 gb,0.5 cm,160 g,3,11 pixels,1002 ppcm,1256 ppcm,1756 mb,6 cm,3 cm,17,Yes,Yes,Yes,Medium cost
570 mAh,Yes,0.5,Yes,2 pixels,No,9 gb,0.3 cm,111 g,7,5 pixels,1331 ppcm,1917 ppcm,3663 mb,14 cm,10 cm,14,No,No,No,Very High cost
1993 mAh,Yes,0.5,No,10 pixels,Yes,27 gb,0.3 cm,147 g,8,11 pixels,150 ppcm,510 ppcm,2437 mb,14 cm,0 cm,9,Yes,No,No,High cost
955 mAh,No,0.5,Yes,4 pixels,No,43 gb,0.9 cm,143 g,5,8 pixels,1248 ppcm,1511 ppcm,1432 mb,12 cm,9 cm,9,Yes,Yes,Yes,Medium cost
924 mAh,No,0.5,Yes,0 pixels,Yes,47 gb,0.3 cm,167 g,8,6 pixels,108 ppcm,1813 ppcm,1620 mb,17 cm,15 cm,12,Yes,No,No,Medium cost
600 mAh,No,0.5,No,0 pixels,No,14 gb,0.8 cm,112 g,5,2 pixels,320 ppcm,747 ppcm,1655 mb,18 cm,0 cm,9,No,No,No,Low cost
518 mAh,No,0.8,Yes,0 pixels,No,3 gb,0.1 cm,178 g,7,1 pixels,437 ppcm,1947 ppcm,2832 mb,5 cm,0 cm,8,Yes,No,Yes,High cost
1063 mAh,Yes,2.5,No,0 pixels,Yes,31 gb,0.9 cm,95 g,6,10 pixels,295 ppcm,935 ppcm,961 mb,16 cm,6 cm,5,Yes,Yes,No,Low cost
920 mAh,Yes,0.5,No,2 pixels,No,46 gb,0.8 cm,149 g,3,3 pixels,1058 ppcm,1421 ppcm,2608 mb,6 cm,0 cm,2,No,No,Yes,High cost
1715 mAh,No,1.9,No,4 pixels,Yes,3 gb,0.1 cm,171 g,5,6 pixels,79 ppcm,1652 ppcm,514 mb,7 cm,4 cm,13,Yes,No,No,Low cost
1841 mAh,Yes,1.3,Yes,6 pixels,No,14 gb,0.6 cm,167 g,8,8 pixels,593 ppcm,672 ppcm,2304 mb,7 cm,1 cm,18,No,No,Yes,High cost
543 mAh,Yes,0.5,Yes,4 pixels,Yes,60 gb,0.7 cm,132 g,5,7 pixels,693 ppcm,1031 ppcm,933 mb,14 cm,0 cm,5,Yes,Yes,No,Low cost
1762 mAh,Yes,2.7,Yes,13 pixels,Yes,25 gb,0.9 cm,189 g,1,14 pixels,300 ppcm,527 ppcm,1896 mb,14 cm,10 cm,20,Yes,Yes,Yes,Medium cost
1112 mAh,Yes,0.5,Yes,1 pixels,No,53 gb,0.6 cm,121 g,4,16 pixels,234 ppcm,739 ppcm,3655 mb,7 cm,3 cm,20,Yes,Yes,No,Very High cost
709 mAh,Yes,2.0,Yes,0 pixels,No,35 gb,0.1 cm,136 g,1,0 pixels,1545 ppcm,1596 ppcm,1973 mb,12 cm,9 cm,16,No,Yes,Yes,Medium cost
1315 mAh,Yes,2.6,No,7 pixels,No,64 gb,0.8 cm,128 g,7,16 pixels,59 ppcm,575 ppcm,3278 mb,6 cm,3 cm,13,No,No,No,High cost
1762 mAh,Yes,2.5,No,10 pixels,Yes,15 gb,0.3 cm,107 g,8,11 pixels,1103 ppcm,1364 ppcm,2183 mb,8 cm,3 cm,11,Yes,Yes,No,High cost
1462 mAh,Yes,1.7,Yes,1 pixels,No,25 gb,0.2 cm,182 g,7,18 pixels,91 ppcm,1478 ppcm,824 mb,15 cm,5 cm,13,Yes,No,Yes,Low cost
571 mAh,No,1.6,Yes,8 pixels,No,35 gb,0.2 cm,186 g,7,20 pixels,177 ppcm,1282 ppcm,2598 mb,13 cm,5 cm,8,Yes,Yes,No,Medium cost
666 mAh,Yes,0.5,Yes,7 pixels,Yes,54 gb,0.4 cm,81 g,3,13 pixels,58 ppcm,1353 ppcm,1254 mb,15 cm,9 cm,9,Yes,Yes,Yes,Low cost
1994 mAh,No,1.5,Yes,2 pixels,Yes,7 gb,0.5 cm,146 g,8,7 pixels,447 ppcm,1435 ppcm,3622 mb,7 cm,0 cm,20,Yes,No,Yes,Very High cost
1583 mAh,Yes,2.1,Yes,11 pixels,No,14 gb,0.7 cm,148 g,7,16 pixels,942 ppcm,1651 ppcm,1704 mb,17 cm,13 cm,2,Yes,No,Yes,High cost
1778 mAh,No,1.4,Yes,3 pixels,Yes,45 gb,1.0 cm,132 g,4,17 pixels,88 ppcm,516 ppcm,1624 mb,15 cm,13 cm,9,Yes,Yes,No,Medium cost
1926 mAh,Yes,1.1,No,13 pixels,Yes,50 gb,0.2 cm,179 g,6,17 pixels,371 ppcm,1000 ppcm,3809 mb,17 cm,12 cm,17,Yes,Yes,No,Very High cost
966 mAh,Yes,0.6,No,9 pixels,Yes,50 gb,0.2 cm,117 g,4,10 pixels,1446 ppcm,1754 ppcm,2574 mb,10 cm,1 cm,5,Yes,No,Yes,High cost
568 mAh,No,2.0,No,1 pixels,No,36 gb,0.3 cm,179 g,3,4 pixels,181 ppcm,1703 ppcm,950 mb,17 cm,9 cm,9,Yes,No,No,Low cost
1897 mAh,No,3.0,No,1 pixels,Yes,21 gb,0.5 cm,192 g,8,2 pixels,1311 ppcm,1935 ppcm,273 mb,17 cm,6 cm,3,Yes,Yes,Yes,Low cost
1695 mAh,No,0.5,Yes,6 pixels,Yes,46 gb,0.7 cm,200 g,3,9 pixels,1791 ppcm,1898 ppcm,446 mb,16 cm,13 cm,15,Yes,Yes,Yes,Medium cost
1623 mAh,Yes,1.2,No,6 pixels,Yes,61 gb,0.9 cm,120 g,7,12 pixels,1568 ppcm,1832 ppcm,1510 mb,12 cm,10 cm,17,Yes,Yes,No,High cost
914 mAh,Yes,0.5,No,0 pixels,Yes,26 gb,0.7 cm,147 g,4,0 pixels,706 ppcm,721 ppcm,1122 mb,12 cm,9 cm,2,Yes,Yes,Yes,Low cost
1721 mAh,Yes,0.5,Yes,4 pixels,Yes,33 gb,0.5 cm,128 g,4,5 pixels,871 ppcm,1048 ppcm,707 mb,19 cm,2 cm,5,Yes,Yes,Yes,Low cost
890 mAh,Yes,2.2,Yes,4 pixels,No,44 gb,0.5 cm,198 g,8,13 pixels,1074 ppcm,1873 ppcm,751 mb,7 cm,3 cm,3,No,No,No,Low cost
600 mAh,No,0.5,No,1 pixels,No,48 gb,0.8 cm,191 g,3,7 pixels,501 ppcm,1465 ppcm,3393 mb,12 cm,7 cm,8,Yes,No,No,High cost
1677 mAh,No,1.8,Yes,4 pixels,No,11 gb,0.7 cm,124 g,6,8 pixels,271 ppcm,1477 ppcm,3771 mb,15 cm,6 cm,12,Yes,No,No,Very High cost
723 mAh,No,0.5,No,0 pixels,Yes,3 gb,0.2 cm,168 g,4,3 pixels,920 ppcm,1748 ppcm,1851 mb,15 cm,3 cm,16,Yes,No,No,Medium cost
